timestamp, distance1, distance2, distance3, distance4, distance5, linearVelocity, angularVelocity, linearAccel, angularAccel
none,0.07503,0.13555,0.2512,0.34384,0.07954,-0.45264,-0.03681,-3.05954,-0.2831
none,0.07494,0.13512,0.2524,0.34493,0.07964,-0.51171,-0.04929,-3.19663,-0.3438
none,0.07482,0.13458,0.2536,0.34595,0.07977,-0.5725,-0.06353,-3.30932,-0.4002
none,0.07467,0.13391,0.25521,0.34733,0.07993,-0.63409,-0.07888,-3.41271,-0.4557
none,0.0745,0.13311,0.25682,0.15516,0.08012,-0.69613,-0.09506,-3.94285,-0.522
none,0.07429,0.13218,0.25563,0.15633,0.08036,-0.77312,-0.11271,-4.09265,-0.6189
none,0.07405,0.1311,0.25764,0.15774,0.08064,-0.85136,-0.13358,-4.2345,-0.7196
none,0.07377,0.12985,0.25967,0.15944,0.08097,-0.93053,-0.15734,-4.37309,-0.8189
none,0.07345,0.12842,0.25891,0.16147,0.08137,-1,-0.18331,-4.49246,-0.9139
none,0.07308,0.12683,0.26136,0.16387,0.08183,-1,-0.21076,-4.45479,-0.956
none,0.07319,0.12596,0.26063,0.16561,0.08181,-1,-0.23571,-4.42451,-0.9977
none,0.07276,0.12411,0.26313,0.16876,0.0824,-1,-0.25856,-4.39195,-1.0320
none,0.0723,0.12218,0.26245,0.3611,0.08305,-1,-0.27924,-3.9357,-0.8472
none,0.07235,0.12112,0.25858,0.36247,0.08317,-1,-0.28282,-3.93971,-0.8518
none,0.0719,0.11927,0.26114,0.36385,0.08386,-1,-0.286,-3.93557,-0.8527
none,0.07195,0.11826,0.26052,0.36523,0.08402,-1,-0.28861,-3.93447,-0.8549
none,0.07151,0.11649,0.25992,0.36663,0.08475,-1,-0.29086,-3.93666,-0.8565
none,0.07156,0.11556,0.26255,0.36803,0.08494,-1,-0.29277,-3.93,-0.8566
none,0.07114,0.11387,0.25877,0.36945,0.08572,-1,-0.2943,-3.93819,-0.8591
none,0.0712,0.113,0.25892,0.37089,0.08595,-1,-0.2957,-3.93617,-0.8599
none,0.07127,0.11216,0.26094,0.37234,0.08618,-1,-0.29688,-3.93079,-0.8596
none,0.07134,0.11134,0.25721,0.37381,0.08644,-1,-0.2978,-3.93598,-0.861
none,0.07141,0.11054,0.25997,0.37196,0.0867,-1,-0.2987,-3.93642,-0.8611
none,0.07102,0.10906,0.25627,0.37348,0.08759,-1,-0.29936,-3.94376,-0.8626
none,0.0711,0.10833,0.25722,0.37502,0.08789,-1,-0.3,-3.93991,-0.8622
none,0.07119,0.10763,0.25541,0.37658,0.08821,-1,-0.30048,-3.94104,-0.86
none,0.07174,0.10764,0.25627,0.37816,0.08791,-1,-0.30091,-3.93494,-0.8629
none,0.07184,0.10697,0.25464,0.37976,0.08825,-1,-0.30126,-3.93549,-0.8634
